Complaint ID,Location,Road Name,Severity,Reported Date,Status,Description,Action Taken
435,Andheri,Link Road,Medium,2025-04-30,Pending,Pothole with water accumulation,Repaired
211,Bandra,Western Express Hwy,Low,2025-04-30,Pending,Deep pothole affecting traffic,Pending
334,Andheri,LBS Road,Low,2025-04-30,Pending,Pothole with water accumulation,Under review
128,Malad,LBS Road,Medium,2025-04-30,Pending,Pothole with water accumulation,Under review
293,Andheri,LBS Road,High,2025-04-30,Resolved,Small pothole near traffic signal,Pending
142,Malad,JVLR Road,Low,2025-04-30,Resolved,Pothole with water accumulation,Under review
80,Andheri,LBS Road,Low,2025-04-30,Pending,Small pothole near traffic signal,Repaired
151,Dadar,JVLR Road,High,2025-04-30,Pending,Large pothole in high-traffic area,Pending
329,Malad,Western Express Hwy,High,2025-04-30,Resolved,Large pothole in high-traffic area,Pending
466,Sion,Link Road,High,2025-04-30,Pending,Large pothole in high-traffic area,Under review
231,Sion,Eastern Express Hwy,High,2025-04-30,Pending,Pothole with water accumulation,Repaired
359,Dadar,Linking Road,Low,2025-04-30,Pending,Pothole affecting bus lanes,Pending
49,Kurla,Eastern Express Hwy,Medium,2025-04-30,Resolved,Small pothole near pedestrian crossing,Repaired
348,Sion,Western Express Hwy,High,2025-04-30,Pending,Large pothole in the middle of the road,Pending
120,Dadar,LBS Road,Low,2025-04-30,Pending,Pothole affecting bus lanes,Repaired
230,Kurla,Sion Trombay Road,High,2025-04-30,Resolved,Large pothole in the middle of the road,Under review
392,Kurla,LBS Road,High,2025-04-30,Resolved,Large pothole in high-traffic area,Under review
494,Malad,JVLR Road,High,2025-04-30,Resolved,Pothole with water accumulation,Repaired
405,Malad,Western Express Hwy,High,2025-04-30,Pending,Small pothole near traffic signal,Repaired
165,Kurla,SV Road,High,2025-04-30,Pending,Pothole with water accumulation,Repaired
471,Dadar,Linking Road,Low,2025-04-30,Resolved,Small pothole near pedestrian crossing,Under review
217,Borivali,Linking Road,High,2025-04-30,Pending,Large pothole in the middle of the road,Under review
483,Borivali,Eastern Express Hwy,Medium,2025-04-30,Resolved,Huge pothole causing vehicle damage,Repaired
234,Vile Parle,SV Road,Low,2025-04-30,Resolved,Deep pothole affecting traffic,Pending
407,Vile Parle,Linking Road,Low,2025-04-30,Pending,Deep pothole affecting traffic,Under review
43,Sion,Eastern Express Hwy,Low,2025-04-30,Pending,Large pothole in the middle of the road,Under review
332,Borivali,Eastern Express Hwy,High,2025-04-30,Pending,Deep pothole affecting traffic,Repaired
320,Sion,SV Road,High,2025-04-30,Pending,Small pothole near traffic signal,Repaired
252,Andheri,LBS Road,High,2025-04-30,Resolved,Small pothole near traffic signal,Repaired
64,Dadar,LBS Road,Medium,2025-04-30,Resolved,Large pothole in the middle of the road,Pending
273,Borivali,Eastern Express Hwy,High,2025-04-30,Resolved,Pothole affecting bus lanes,Pending
459,Sion,JVLR Road,High,2025-04-30,Pending,Pothole with water accumulation,Pending
97,Malad,JVLR Road,Low,2025-04-30,Resolved,Deep pothole affecting traffic,Repaired
447,Malad,LBS Road,Medium,2025-04-30,Pending,Pothole with water accumulation,Pending
113,Kurla,Eastern Express Hwy,Medium,2025-04-30,Resolved,Large pothole in high-traffic area,Repaired
53,Sion,SV Road,Medium,2025-04-30,Pending,Small pothole near traffic signal,Pending
36,Kurla,SV Road,Medium,2025-04-30,Resolved,Huge pothole causing vehicle damage,Pending
148,Sion,SV Road,Low,2025-04-30,Resolved,Small pothole near pedestrian crossing,Pending
178,Andheri,JVLR Road,Low,2025-04-30,Resolved,Large pothole in high-traffic area,Under review
16,Andheri,LBS Road,High,2025-04-30,Resolved,Pothole with water accumulation,Under review
226,Malad,JVLR Road,Medium,2025-04-30,Pending,Deep pothole affecting traffic,Pending
223,Bandra,Western Express Hwy,Low,2025-04-30,Pending,Huge pothole causing vehicle damage,Pending
306,Dadar,Linking Road,Medium,2025-04-30,Pending,Small pothole near traffic signal,Pending
94,Bandra,Western Express Hwy,Medium,2025-04-30,Resolved,Large pothole in high-traffic area,Pending
50,Bandra,Eastern Express Hwy,High,2025-04-30,Pending,Huge pothole causing vehicle damage,Pending
446,Kurla,JVLR Road,Medium,2025-04-30,Resolved,Small pothole near pedestrian crossing,Under review
358,Andheri,Western Express Hwy,High,2025-04-30,Pending,Small pothole near traffic signal,Pending
437,Vile Parle,Western Express Hwy,Low,2025-04-30,Resolved,Deep pothole affecting traffic,Under review
455,Andheri,Eastern Express Hwy,Medium,2025-04-30,Pending,Pothole affecting bus lanes,Repaired
116,Bandra,JVLR Road,Medium,2025-04-30,Resolved,Pothole with water accumulation,Under review
418,Andheri,Link Road,Low,2025-04-30,Pending,Large pothole in high-traffic area,Pending
156,Borivali,Link Road,Medium,2025-04-30,Pending,Large pothole in the middle of the road,Pending
39,Kurla,JVLR Road,Medium,2025-04-30,Pending,Small pothole near traffic signal,Pending
127,Bandra,LBS Road,High,2025-04-30,Pending,Small pothole near pedestrian crossing,Repaired
18,Andheri,Sion Trombay Road,Low,2025-04-30,Pending,Small pothole near traffic signal,Pending
269,Bandra,SV Road,Low,2025-04-30,Pending,Pothole affecting bus lanes,Pending
90,Malad,Link Road,High,2025-04-30,Pending,Deep pothole affecting traffic,Under review
197,Bandra,SV Road,High,2025-04-30,Resolved,Small pothole near traffic signal,Pending
296,Vile Parle,Western Express Hwy,High,2025-04-30,Pending,Large pothole in high-traffic area,Repaired
263,Kurla,Sion Trombay Road,Medium,2025-04-30,Resolved,Deep pothole affecting traffic,Pending
163,Sion,SV Road,Medium,2025-04-30,Resolved,Large pothole in high-traffic area,Under review
17,Kurla,Eastern Express Hwy,High,2025-04-30,Pending,Pothole affecting bus lanes,Under review
81,Sion,Eastern Express Hwy,Low,2025-04-30,Resolved,Pothole with water accumulation,Repaired
204,Sion,JVLR Road,Medium,2025-04-30,Pending,Deep pothole affecting traffic,Under review
44,Andheri,Western Express Hwy,Medium,2025-04-30,Resolved,Deep pothole affecting traffic,Pending
173,Borivali,Linking Road,Medium,2025-04-30,Resolved,Huge pothole causing vehicle damage,Pending
106,Kurla,Western Express Hwy,Medium,2025-04-30,Pending,Pothole affecting bus lanes,Under review
449,Vile Parle,Western Express Hwy,Low,2025-04-30,Pending,Large pothole in the middle of the road,Pending
55,Bandra,Eastern Express Hwy,Medium,2025-04-30,Pending,Small pothole near pedestrian crossing,Pending
308,Malad,Eastern Express Hwy,Low,2025-04-30,Pending,Pothole with water accumulation,Under review
246,Borivali,Linking Road,Low,2025-04-30,Resolved,Large pothole in high-traffic area,Repaired
339,Borivali,Linking Road,Medium,2025-04-30,Resolved,Large pothole in the middle of the road,Repaired
45,Malad,Sion Trombay Road,High,2025-04-30,Pending,Deep pothole affecting traffic,Repaired
100,Bandra,SV Road,High,2025-04-30,Pending,Pothole affecting bus lanes,Pending
251,Sion,JVLR Road,Low,2025-04-30,Pending,Pothole with water accumulation,Under review
386,Kurla,JVLR Road,Medium,2025-04-30,Pending,Pothole affecting bus lanes,Repaired
412,Dadar,JVLR Road,High,2025-04-30,Resolved,Large pothole in the middle of the road,Pending
164,Andheri,Link Road,Medium,2025-04-30,Pending,Huge pothole causing vehicle damage,Under review
363,Kurla,LBS Road,High,2025-04-30,Resolved,Deep pothole affecting traffic,Under review
87,Bandra,LBS Road,Low,2025-04-30,Pending,Deep pothole affecting traffic,Repaired
141,Kurla,Western Express Hwy,Low,2025-04-30,Resolved,Pothole affecting bus lanes,Pending
21,Andheri,JVLR Road,High,2025-04-30,Resolved,Small pothole near pedestrian crossing,Pending
488,Sion,Eastern Express Hwy,High,2025-04-30,Resolved,Pothole with water accumulation,Repaired
206,Vile Parle,Link Road,Low,2025-04-30,Resolved,Large pothole in the middle of the road,Repaired
266,Kurla,Link Road,High,2025-04-30,Pending,Small pothole near traffic signal,Under review
424,Bandra,Linking Road,Medium,2025-04-30,Resolved,Small pothole near traffic signal,Pending
250,Bandra,Sion Trombay Road,Low,2025-04-30,Resolved,Small pothole near pedestrian crossing,Pending
3,Andheri,Western Express Hwy,High,2025-04-30,Resolved,Pothole with water accumulation,Under review
213,Dadar,LBS Road,Low,2025-04-30,Pending,Small pothole near traffic signal,Pending
92,Sion,Linking Road,Low,2025-04-30,Resolved,Large pothole in high-traffic area,Repaired
62,Bandra,LBS Road,Low,2025-04-30,Pending,Huge pothole causing vehicle damage,Repaired
438,Kurla,Western Express Hwy,Low,2025-04-30,Pending,Huge pothole causing vehicle damage,Pending
186,Malad,Linking Road,Low,2025-04-30,Resolved,Pothole affecting bus lanes,Pending
72,Andheri,JVLR Road,Low,2025-04-30,Resolved,Large pothole in high-traffic area,Pending
140,Sion,JVLR Road,Medium,2025-04-30,Resolved,Huge pothole causing vehicle damage,Repaired
473,Vile Parle,Western Express Hwy,High,2025-04-30,Pending,Deep pothole affecting traffic,Under review
131,Kurla,LBS Road,Low,2025-04-30,Pending,Pothole with water accumulation,Under review
479,Borivali,Link Road,Low,2025-04-30,Resolved,Large pothole in high-traffic area,Pending
57,Malad,Eastern Express Hwy,Low,2025-04-30,Resolved,Pothole with water accumulation,Under review
56,Kurla,Western Express Hwy,High,2025-04-30,Pending,Deep pothole affecting traffic,Repaired
287,Dadar,JVLR Road,Low,2025-04-30,Resolved,Pothole with water accumulation,Repaired
403,Dadar,Linking Road,High,2025-04-30,Pending,Huge pothole causing vehicle damage,Under review
354,Vile Parle,JVLR Road,Medium,2025-04-30,Pending,Pothole affecting bus lanes,Pending
9,Dadar,Linking Road,Medium,2025-04-30,Resolved,Large pothole in the middle of the road,Pending
383,Kurla,JVLR Road,Low,2025-04-30,Pending,Small pothole near pedestrian crossing,Under review
368,Borivali,Eastern Express Hwy,Low,2025-04-30,Pending,Small pothole near traffic signal,Repaired
450,Borivali,JVLR Road,Medium,2025-04-30,Pending,Pothole with water accumulation,Pending
137,Dadar,Linking Road,Low,2025-04-30,Pending,Large pothole in the middle of the road,Repaired
422,Andheri,JVLR Road,High,2025-04-30,Pending,Pothole affecting bus lanes,Pending
61,Dadar,SV Road,High,2025-04-30,Resolved,Small pothole near pedestrian crossing,Repaired
32,Malad,Linking Road,Low,2025-04-30,Pending,Pothole with water accumulation,Pending
70,Kurla,Linking Road,Low,2025-04-30,Resolved,Pothole with water accumulation,Pending
462,Vile Parle,Western Express Hwy,High,2025-04-30,Pending,Small pothole near pedestrian crossing,Under review
481,Malad,Western Express Hwy,Low,2025-04-30,Pending,Huge pothole causing vehicle damage,Pending
229,Bandra,LBS Road,High,2025-04-30,Resolved,Pothole with water accumulation,Under review
152,Sion,LBS Road,Low,2025-04-30,Pending,Large pothole in high-traffic area,Pending
183,Sion,Eastern Express Hwy,High,2025-04-30,Pending,Large pothole in the middle of the road,Pending
288,Andheri,Western Express Hwy,Medium,2025-04-30,Resolved,Large pothole in the middle of the road,Pending
220,Bandra,Western Express Hwy,High,2025-04-30,Pending,Pothole with water accumulation,Pending
150,Sion,LBS Road,Medium,2025-04-30,Pending,Large pothole in high-traffic area,Under review
461,Bandra,Link Road,Medium,2025-04-30,Resolved,Small pothole near pedestrian crossing,Under review
33,Sion,SV Road,High,2025-04-30,Pending,Pothole affecting bus lanes,Repaired
429,Kurla,Linking Road,Medium,2025-04-30,Pending,Large pothole in the middle of the road,Pending
187,Vile Parle,Eastern Express Hwy,Medium,2025-04-30,Pending,Pothole with water accumulation,Under review
10,Bandra,Link Road,Low,2025-04-30,Pending,Small pothole near traffic signal,Pending
4,Bandra,Eastern Express Hwy,Medium,2025-04-30,Pending,Large pothole in the middle of the road,Repaired
194,Sion,LBS Road,Medium,2025-04-30,Resolved,Deep pothole affecting traffic,Under review
208,Malad,SV Road,Low,2025-04-30,Pending,Pothole with water accumulation,Repaired
8,Kurla,Western Express Hwy,Medium,2025-04-30,Resolved,Large pothole in the middle of the road,Repaired
391,Borivali,SV Road,Low,2025-04-30,Pending,Small pothole near traffic signal,Under review
333,Borivali,JVLR Road,Medium,2025-04-30,Resolved,Huge pothole causing vehicle damage,Repaired
319,Bandra,SV Road,Low,2025-04-30,Resolved,Deep pothole affecting traffic,Pending
286,Dadar,Sion Trombay Road,Medium,2025-04-30,Resolved,Large pothole in high-traffic area,Under review
73,Borivali,Eastern Express Hwy,High,2025-04-30,Pending,Huge pothole causing vehicle damage,Pending
294,Bandra,Sion Trombay Road,Medium,2025-04-30,Pending,Small pothole near traffic signal,Pending
196,Bandra,Link Road,Low,2025-04-30,Pending,Pothole with water accumulation,Repaired
35,Kurla,JVLR Road,Medium,2025-04-30,Pending,Small pothole near pedestrian crossing,Pending
430,Bandra,Western Express Hwy,Low,2025-04-30,Resolved,Small pothole near pedestrian crossing,Under review
421,Kurla,Sion Trombay Road,Medium,2025-04-30,Pending,Small pothole near traffic signal,Pending
371,Bandra,LBS Road,Medium,2025-04-30,Resolved,Large pothole in high-traffic area,Repaired
171,Sion,SV Road,High,2025-04-30,Resolved,Small pothole near traffic signal,Repaired
15,Borivali,Sion Trombay Road,Low,2025-04-30,Resolved,Small pothole near traffic signal,Under review
456,Malad,LBS Road,Medium,2025-04-30,Pending,Small pothole near pedestrian crossing,Pending
75,Malad,Western Express Hwy,High,2025-04-30,Resolved,Pothole affecting bus lanes,Repaired
177,Andheri,Link Road,Low,2025-04-30,Resolved,Small pothole near traffic signal,Under review
385,Vile Parle,Linking Road,Medium,2025-04-30,Resolved,Small pothole near traffic signal,Repaired
155,Bandra,SV Road,Medium,2025-04-30,Resolved,Small pothole near pedestrian crossing,Under review
161,Kurla,Sion Trombay Road,Low,2025-04-30,Pending,Deep pothole affecting traffic,Under review
484,Dadar,Sion Trombay Road,High,2025-04-30,Resolved,Small pothole near pedestrian crossing,Pending
104,Kurla,SV Road,High,2025-04-30,Pending,Small pothole near pedestrian crossing,Pending
490,Kurla,JVLR Road,Low,2025-04-27,Pending,Pothole with water accumulation,Repaired
434,Borivali,Link Road,Low,2025-04-27,Pending,Small pothole near pedestrian crossing,Pending
399,Andheri,LBS Road,Low,2025-04-26,Pending,Pothole affecting bus lanes,Under review
209,Andheri,Eastern Express Hwy,High,2025-04-26,Pending,Large pothole in the middle of the road,Repaired
397,Bandra,Eastern Express Hwy,Medium,2025-04-25,Pending,Pothole affecting bus lanes,Under review
224,Borivali,Link Road,High,2025-04-24,Resolved,Pothole with water accumulation,Pending
493,Sion,Sion Trombay Road,Medium,2025-04-23,Pending,Small pothole near pedestrian crossing,Repaired
394,Sion,Linking Road,High,2025-04-23,Resolved,Small pothole near pedestrian crossing,Repaired
22,Bandra,Eastern Express Hwy,Medium,2025-04-22,Pending,Pothole with water accumulation,Under review
337,Vile Parle,LBS Road,Medium,2025-04-21,Pending,Huge pothole causing vehicle damage,Repaired
274,Bandra,Eastern Express Hwy,Medium,2025-04-21,Pending,Huge pothole causing vehicle damage,Repaired
453,Kurla,Sion Trombay Road,Medium,2025-04-20,Pending,Pothole with water accumulation,Repaired
452,Bandra,Eastern Express Hwy,Low,2025-04-15,Resolved,Pothole affecting bus lanes,Under review
367,Vile Parle,Link Road,Low,2025-04-15,Resolved,Small pothole near traffic signal,Repaired
58,Andheri,LBS Road,Low,2025-04-14,Resolved,Large pothole in the middle of the road,Under review
302,Bandra,LBS Road,High,2025-04-13,Pending,Large pothole in high-traffic area,Under review
125,Malad,Linking Road,Medium,2025-04-13,Pending,Small pothole near traffic signal,Under review
321,Sion,Western Express Hwy,Low,2025-04-13,Resolved,Large pothole in the middle of the road,Pending
105,Bandra,LBS Road,Medium,2025-04-09,Resolved,Small pothole near traffic signal,Under review
172,Vile Parle,LBS Road,Low,2025-04-09,Pending,Huge pothole causing vehicle damage,Under review
261,Andheri,Sion Trombay Road,High,2025-04-08,Pending,Small pothole near pedestrian crossing,Under review
264,Bandra,LBS Road,Low,2025-04-07,Resolved,Large pothole in high-traffic area,Pending
464,Andheri,Linking Road,Medium,2025-04-06,Pending,Pothole with water accumulation,Repaired
467,Borivali,Link Road,Low,2025-04-06,Resolved,Deep pothole affecting traffic,Under review
292,Sion,SV Road,Low,2025-04-05,Resolved,Huge pothole causing vehicle damage,Pending
477,Bandra,Sion Trombay Road,Low,2025-03-29,Resolved,Pothole affecting bus lanes,Under review
2,Malad,JVLR Road,High,2025-03-25,Resolved,Deep pothole affecting traffic,Pending
489,Borivali,Eastern Express Hwy,High,2025-03-22,Pending,Small pothole near traffic signal,Under review
236,Kurla,Linking Road,Low,2025-03-19,Pending,Deep pothole affecting traffic,Repaired
282,Vile Parle,JVLR Road,Low,2025-03-19,Pending,Pothole affecting bus lanes,Pending
267,Bandra,Linking Road,Low,2025-03-17,Resolved,Pothole with water accumulation,Pending
366,Dadar,SV Road,High,2025-03-16,Resolved,Deep pothole affecting traffic,Under review
362,Borivali,JVLR Road,High,2025-03-15,Resolved,Huge pothole causing vehicle damage,Under review
13,Bandra,SV Road,Medium,2025-03-13,Pending,Huge pothole causing vehicle damage,Repaired
395,Malad,Sion Trombay Road,High,2025-03-12,Pending,Small pothole near traffic signal,Repaired
338,Borivali,Link Road,Low,2025-03-10,Pending,Large pothole in high-traffic area,Under review
166,Malad,Linking Road,Low,2025-03-09,Pending,Large pothole in high-traffic area,Under review
66,Kurla,Sion Trombay Road,High,2025-03-07,Resolved,Pothole with water accumulation,Repaired
301,Sion,Eastern Express Hwy,Low,2025-03-07,Pending,Small pothole near traffic signal,Repaired
414,Vile Parle,SV Road,Low,2025-03-06,Resolved,Small pothole near pedestrian crossing,Repaired
260,Sion,SV Road,Low,2025-03-04,Resolved,Large pothole in the middle of the road,Pending
154,Bandra,SV Road,Medium,2025-03-01,Pending,Large pothole in the middle of the road,Pending
1,Sion,Sion Trombay Road,Medium,2025-02-27,Resolved,Small pothole near traffic signal,Repaired
315,Andheri,Western Express Hwy,Low,2025-02-27,Pending,Small pothole near traffic signal,Under review
145,Kurla,Link Road,Medium,2025-02-26,Pending,Pothole with water accumulation,Repaired
382,Andheri,Western Express Hwy,High,2025-02-25,Resolved,Small pothole near pedestrian crossing,Repaired
37,Kurla,Linking Road,Low,2025-02-24,Pending,Large pothole in the middle of the road,Under review
175,Bandra,LBS Road,High,2025-02-23,Pending,Small pothole near traffic signal,Under review
99,Andheri,LBS Road,Medium,2025-02-22,Pending,Pothole with water accumulation,Pending
143,Vile Parle,Link Road,Medium,2025-02-22,Pending,Large pothole in the middle of the road,Under review
118,Kurla,Eastern Express Hwy,Low,2025-02-21,Pending,Huge pothole causing vehicle damage,Repaired
401,Malad,Sion Trombay Road,Low,2025-02-20,Resolved,Pothole with water accumulation,Under review
417,Kurla,Linking Road,Low,2025-02-17,Resolved,Deep pothole affecting traffic,Under review
34,Vile Parle,Western Express Hwy,Medium,2025-02-15,Resolved,Small pothole near traffic signal,Repaired
26,Kurla,Western Express Hwy,Low,2025-02-11,Pending,Pothole with water accumulation,Pending
5,Dadar,Linking Road,Low,2025-02-08,Resolved,Huge pothole causing vehicle damage,Pending
221,Dadar,Sion Trombay Road,Medium,2025-02-07,Resolved,Small pothole near traffic signal,Repaired
495,Vile Parle,Western Express Hwy,Medium,2025-02-02,Pending,Huge pothole causing vehicle damage,Repaired
357,Andheri,Eastern Express Hwy,Medium,2025-01-30,Resolved,Pothole with water accumulation,Repaired
240,Bandra,Link Road,Low,2025-01-30,Resolved,Pothole with water accumulation,Under review
486,Kurla,Western Express Hwy,Low,2025-01-29,Resolved,Large pothole in high-traffic area,Pending
349,Vile Parle,SV Road,Medium,2025-01-29,Resolved,Large pothole in the middle of the road,Repaired
355,Malad,SV Road,Low,2025-01-29,Pending,Large pothole in high-traffic area,Under review
398,Kurla,LBS Road,Medium,2025-01-29,Pending,Pothole with water accumulation,Under review
42,Malad,LBS Road,Medium,2025-01-27,Resolved,Large pothole in high-traffic area,Pending
457,Borivali,Western Express Hwy,Low,2025-01-26,Resolved,Small pothole near pedestrian crossing,Pending
169,Malad,JVLR Road,High,2025-01-26,Pending,Deep pothole affecting traffic,Pending
402,Andheri,Link Road,Medium,2025-01-23,Pending,Large pothole in high-traffic area,Pending
0,Bandra,Eastern Express Hwy,Medium,2025-01-22,Resolved,Large pothole in high-traffic area,Pending
476,Malad,JVLR Road,Low,2025-01-21,Resolved,Deep pothole affecting traffic,Pending
460,Malad,Link Road,High,2025-01-16,Pending,Pothole with water accumulation,Pending
330,Malad,Link Road,Medium,2025-01-16,Resolved,Deep pothole affecting traffic,Repaired
345,Sion,Eastern Express Hwy,High,2025-01-16,Resolved,Pothole affecting bus lanes,Pending
47,Borivali,Sion Trombay Road,High,2025-01-16,Pending,Pothole with water accumulation,Under review
29,Borivali,Eastern Express Hwy,High,2025-01-16,Pending,Pothole with water accumulation,Repaired
109,Malad,Linking Road,Low,2025-01-15,Pending,Large pothole in the middle of the road,Repaired
176,Dadar,SV Road,High,2025-01-13,Resolved,Small pothole near pedestrian crossing,Repaired
147,Bandra,JVLR Road,High,2025-01-13,Resolved,Large pothole in high-traffic area,Pending
408,Sion,LBS Road,High,2025-01-12,Resolved,Large pothole in high-traffic area,Pending
6,Sion,JVLR Road,High,2025-01-12,Resolved,Huge pothole causing vehicle damage,Pending
311,Dadar,Sion Trombay Road,Medium,2025-01-10,Pending,Pothole affecting bus lanes,Under review
374,Bandra,Link Road,Low,2025-01-10,Resolved,Small pothole near traffic signal,Under review
285,Sion,LBS Road,Low,2025-01-08,Resolved,Pothole with water accumulation,Repaired
245,Malad,Linking Road,High,2025-01-06,Resolved,Small pothole near traffic signal,Repaired
411,Bandra,Linking Road,Medium,2025-01-05,Resolved,Pothole with water accumulation,Repaired
153,Malad,Link Road,High,2025-01-03,Pending,Pothole affecting bus lanes,Repaired
191,Sion,Eastern Express Hwy,High,2025-01-01,Pending,Huge pothole causing vehicle damage,Repaired
184,Vile Parle,Eastern Express Hwy,Medium,2024-12-31,Resolved,Small pothole near pedestrian crossing,Under review
134,Bandra,Link Road,High,2024-12-31,Pending,Pothole affecting bus lanes,Pending
225,Andheri,LBS Road,Medium,2024-12-28,Pending,Small pothole near traffic signal,Under review
396,Malad,Linking Road,Low,2024-12-24,Pending,Deep pothole affecting traffic,Repaired
440,Bandra,JVLR Road,Medium,2024-12-23,Resolved,Small pothole near traffic signal,Under review
112,Sion,JVLR Road,Medium,2024-12-22,Resolved,Pothole with water accumulation,Repaired
276,Kurla,LBS Road,Medium,2024-12-21,Pending,Deep pothole affecting traffic,Repaired
305,Andheri,Sion Trombay Road,High,2024-12-20,Pending,Small pothole near pedestrian crossing,Pending
129,Kurla,Eastern Express Hwy,High,2024-12-19,Pending,Deep pothole affecting traffic,Under review
91,Andheri,Sion Trombay Road,High,2024-12-17,Resolved,Large pothole in high-traffic area,Pending
123,Sion,Link Road,High,2024-12-16,Pending,Pothole affecting bus lanes,Pending
350,Sion,LBS Road,Medium,2024-12-16,Resolved,Pothole with water accumulation,Repaired
238,Borivali,Link Road,Medium,2024-12-14,Pending,Large pothole in high-traffic area,Under review
